,title,company name,link,date listed,salary,job description,Partially visually impaired,Hearing Impaired,LV,HI,MPD,PD,CP
43,Safe Entry Officer,ITOP SERVICES PTE. LTD.,sg.indeed.com/company/ITOP-SERVICES-PTE.-LTD./jobs/Safe-Entry-Officer-57f2c9ea9645a47b?fccid=11d5839b878f6070&vjs=3,Posted1 day ago,"$2,758 - $3,899 a month","Monitor and ensure SafeEntry check-in via TraceTogether before entering the hawker centre.
Ensure that everybody entering the premises are fully vaccinated.",2.0,4.0,0,1,1,1,0
44,Company Driver,RSIN GROUP PTE. LTD.,sg.indeed.com/rc/clk?jk=3b53258f706f5d98&fccid=8730fa8ccfdce971&vjs=3,Posted4 days ago,"$2,500 - $3,500 a month","We're looking for a dedicated Driver, to provide safe and prompt transportation for the company chairman and her family.",0.0,3.0,0,0,0,0,0
45,Operations Executive,GS CALTEX SINGAPORE PTE. LTD.,sg.indeed.com/rc/clk?jk=2bd5fccf69975eb9&fccid=db4a178bb3636b3f&vjs=3,Posted8 days ago,"$3,000 - $4,000 a month","Liaise between Headoffice and customer.
Ensure proper follow up on cargoes operations.
(nomination loading date range / price calculations / due date etc).",0.0,2.0,1,1,1,1,1
46,HR SALES REPRESENTATIVE,57 EMPLOYMENT AGENCY PTE. LTD.,sg.indeed.com/rc/clk?jk=ce887d9e069ebe89&fccid=f8daccecc6c334c9&vjs=3,Posted2 days ago,"$5,000 - $10,000 a month","Responsible for attracting candidates and matching them to jobs with clients’ companies.
Conduct networking in order to attract business from client companies…",2.0,2.0,0,0,0,0,0
47,Personal Assistant (No need experience - Training Provided),RECRUITPEDIA PTE. LTD.,sg.indeed.com/rc/clk?jk=9041234db909e61f&fccid=668d88e6e1c7f81f&vjs=3,Posted10 days ago,"$2,500 - $3,000 a month","Provide full spectrum of secretarial support to Director.
Conduct market research and organizational activities on behalf of Director.",2.0,2.0,1,0,1,1,0
48,Security Guard (2-years contract - convertible),VAULT PERSONNEL PTE. LTD.,sg.indeed.com/rc/clk?jk=abeb8d878988552e&fccid=2e356b48d89884b2&vjs=3,Posted2 days ago,"$2,500 - $3,000 a month","This is a 12 hours shift role (either Day or Night shift).
An in-house security role.
Perform screening, guarding, patrolling and escort duties daily.",3.0,2.0,0,0,1,1,1
49,Junior Marketing Entry Level,AMG Pte Ltd,sg.indeed.com/company/AMG-Pte-Ltd/jobs/Junior-Marketing-Entry-Level-8debe07b8fac43b7?fccid=f1459f9d82f9541b&vjs=3,Posted11 days ago,"$3,500 - $4,500 a month","Job Types: Full-time, Permanent, Student job.",2.0,4.0,0,0,1,1,0
50,Social Work Associate (FSC),AMKFSC COMMUNITY SERVICES LTD.,sg.indeed.com/rc/clk?jk=00f629d5948d1fbc&fccid=2da171a1952975b9&vjs=3,Posted8 days ago,"$2,400 - $3,000 a month","Support casework and counselling interventions under guidance of professional staff in the company.
Support administrative functions of group work processes in…",3.0,3.0,1,1,1,1,0
51,"Order Entry, Purchasing and Logistics Officer",MIDWICH ASIA PTE. LTD.,sg.indeed.com/rc/clk?jk=4ed79ff725bb19c5&fccid=a7b0ef17ac2c39dc&vjs=3,Posted7 days ago,"$2,800 - $4,000 a month","Accurate and efficient order entry,.
Confirming receipt and status of orders via return email,.
Liaising with customers, sales and accounts staff, and 3PL…",2.0,2.0,0,0,1,1,0
52,Operation and Customer Experience Associate,POLICYPAL SINGAPORE PTE. LTD.,sg.indeed.com/company/PolicyPal-Tech-Pte-Ltd/jobs/Operation-Customer-Experience-Associate-41e759b2f40115a5?fccid=62083613e060113d&vjs=3,Posted1 day ago,"$2,700 - $4,000 a month","We also believe in helping the community attain relevant knowledge on financial planning through gamification, and offering in-app credits incentives that can…",2.0,2.0,1,1,1,1,0
